t=0.000 psi=90.000 ksi=0.000 v_p=0.248  d= 0.037
t=57.000 psi=-252.000 ksi=684.000 v_p=0.212  d= 3.773
t=57.150 psi=-252.900 ksi=685.800 v_p=0.216  d= 3.805
t=57.300 psi=-253.800 ksi=687.600 v_p=0.220  d= 3.838
t=57.450 psi=-254.700 ksi=689.400 v_p=0.224  d= 3.872
t=57.600 psi=-255.600 ksi=691.200 v_p=0.227  d= 3.906
t=57.750 psi=-256.500 ksi=693.000 v_p=0.231  d= 3.941
t=57.900 psi=-257.400 ksi=694.800 v_p=0.233  d= 3.976
t=58.050 psi=-258.300 ksi=696.600 v_p=0.236  d= 4.011
t=58.200 psi=-259.200 ksi=698.400 v_p=0.239  d= 4.047
t=58.350 psi=-260.100 ksi=700.200 v_p=0.240  d= 4.083
t=58.500 psi=-261.000 ksi=702.000 v_p=0.243  d= 4.119
t=58.650 psi=-261.900 ksi=703.800 v_p=0.245  d= 4.156
t=58.800 psi=-262.800 ksi=705.600 v_p=0.246  d= 4.193
t=58.950 psi=-263.700 ksi=707.400 v_p=0.248  d= 4.230
t=59.100 psi=-264.600 ksi=709.200 v_p=0.248  d= 4.268
t=59.250 psi=-265.500 ksi=711.000 v_p=0.249  d= 4.305
t=59.400 psi=-266.400 ksi=712.800 v_p=0.250  d= 4.342
t=59.550 psi=-267.300 ksi=714.600 v_p=0.250  d= 4.380
t=59.700 psi=-268.200 ksi=716.400 v_p=0.250  d= 4.417
t=59.850 psi=-269.100 ksi=718.200 v_p=0.249  d= 4.455
t=60.000 psi=-270.000 ksi=720.000 v_p=0.248  d= 4.492
Вычисленная толщина пленки: 4.491928608010219

